Disease Name,Type,Category,Overview,Causes,Specialist,Treatment/ Home Remedies,,,,,,,,,,,,,,,,,,
HIV/AIDS,Infectious Disease (Viral),Communicable,"HIV (Human Immunodeficiency Virus) weakens the immune system by destroying CD4 cells. Untreated infection progresses to AIDS (Acquired Immunodeficiency Syndrome), leaving the body vulnerable to severe infections and cancers.","Transmission through unprotected sex, sharing needles, infected blood transfusion, from mother to child during pregnancy/birth/breastfeeding",Infectious Disease Specialist,"Consult a doctor immediately if repeated infections, unexplained weight loss, or persistent fever occur, Treatments include: Antiretroviral therapy (ART) combinations, Regular CD4 and viral load monitoring, Lifestyle management (healthy diet, safe practices), No cure, but treatment controls disease effectively",,,,,,,,,,,,,,,,,,
Rotavirus Diarrhea,Infectious Disease (Viral),Communicable,"Rotavirus infection is the leading cause of severe diarrhea in infants and young children, often leading to dehydration.","Spread through contaminated hands, food, water, or surfaces",Gastroenterologist,"Consult a doctor immediately if diarrhea is severe, child shows dehydration, or vomiting prevents fluid intake, Treatments include: Oral rehydration solution (ORS), IV fluids in severe dehydration, Zinc supplementation, Supportive care (rest, nutrition), No specific antiviral, Rotavirus vaccination available for prevention",,,,,,,,,,,,,,,,,,
E. coli Diarrhea (Traveler’s Diarrhea),Infectious Disease (Bacterial),Communicable,"Certain strains of E. coli cause diarrhea, commonly affecting travelers and populations with unsafe food and water.","Consumption of contaminated food or water, Poor sanitation, Street food contamination",Gastroenterologist,"Consult a doctor immediately if diarrhea is bloody, persists more than 3 days, or signs of dehydration appear, Treatments include: Oral rehydration solution (ORS), Antibiotics in severe cases, Probiotics for gut recovery, Supportive care (rest, hydration)",,,,,,,,,,,,,,,,,,
Amebic Dysentery (Entamoeba histolytica),Infectious Disease (Parasitic),Communicable,"Amebic dysentery is caused by the parasite Entamoeba histolytica, affecting the intestines and sometimes spreading to the liver.","Amebic dysentery is caused by the parasite Entamoeba histolytica, affecting the intestines and sometimes spreading to the liver.",Gastroenterologist,"Consult a doctor immediately if diarrhea has blood/mucus, high fever, or persistent abdominal pain, Treatments include: Antiparasitic drugs, Luminal agents to clear cysts, ORS/IV fluids for dehydration, Nutritional support",,,,,,,,,,,,,,,,,,
Typhoid Fever,Infectious Disease (Bacterial),Communicable,"Typhoid fever is a bacterial infection caused by Salmonella Typhi that spreads through contaminated food and water, common in areas with poor sanitation.","Consumption of contaminated food or water, Poor hygiene, Fecal-oral transmission",Infectious Disease Specialist,"Consult a doctor immediately if fever persists more than 3 days, severe abdominal pain, or signs of dehydration occur, Treatments include: Antibiotics, ORS/IV fluids for dehydration, Adequate nutrition and rest, Hospitalization for severe or resistant cases, Vaccination available for prevention",,,,,,,,,,,,,,,,,,
Chikungunya,"Infectious Disease (Viral, Mosquito-borne)",Communicable,"Chikungunya is a viral disease transmitted by Aedes mosquitoes, known for causing sudden fever and intense joint pain that can last weeks to months.",Spread by bite of infected Aedes aegypti or Aedes albopictus mosquitoes,Infectious Disease Specialist,"Consult a doctor immediately if fever persists, severe joint pain develops, or dehydration signs appear, Treatments include: No specific antiviral, Supportive care (rest, fluids, paracetamol for fever/pain), Non-Steroidal Anti-Inflammatory Drugs for joint pain after dengue is ruled out, Prevent mosquito bites with nets, repellents, and removing breeding sites",,,,,,,,,,,,,,,,,,
Primary/Essential Hypertension (High Blood Pressure),Chronic Multifactorial Vascular Disorder,Non-communicable,Primary hypertension is high blood pressure without a single identifiable secondary cause. It tends to develop gradually over years due to multiple risk factors.,"Family History, Aging, Obesity, High Dietary Salt Intake, Excess Alcohol Consumption, Chronic Stress, Sleep Disorders",Cardiologist,"Treatment of primary hypertension starts with lifestyle changes: lowering salt intake, eating a healthy balanced diet, getting regular exercise, losing weight if needed, cutting down alcohol and quitting smoking. If blood pressure remains high or there are other risks (age, diabetes, kidney disease etc.), consult a doctor.",,,,,,,,,,,,,,,,,,
Secondary Hypertension (High Blood Pressure),Chronic Cardiovascular,Non-communicable,"Secondary hypertension is high blood pressure caused by an identifiable underlying condition such as kidney, hormonal, vascular, or medication-related issues.","Chronic Kidney Disease, Renal Artery, Stenosis, Endocrine Disorders, Obstructive Sleep Apnea, Alcohol Abuse, Illicit Drug Use",Cardiologist,"Management focuses on addressing the root cause—such as surgery or angioplasty for renal artery stenosis, hormone therapy for endocrine disorders, or adjusting/removing offending medications. Alongside, antihypertensive drugs may be prescribed to control blood pressure. Lifestyle modifications such as reducing salt intake, maintaining a healthy weight, avoiding alcohol/tobacco, and exercising regularly are recommended. Always consult a doctor for accurate diagnosis and personalized treatment.",,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Chronic neurodegenerative,Non-communicable,"Alzheimer’s disease is a progressive brain disorder that slowly destroys memory, thinking ability, and daily functioning, being the most common cause of dementia.","Abnormal buildup of proteins in the brain, Genetic Risk Factors, Ageing, Family History, Vascular Problems, Head Injuries",Neurologist,"There is no cure, but treatments can help manage symptoms and slow progression. Medications, supportive therapies and lifestyle measures can help maintain function. Consulting a doctor is essential for early diagnosis, personalized care planning, and appropriate medication management.",,,,,,,,,,,,,,,,,,
Chronic Kidney Disease,Chronic renal,Non-communicable,"Chronic Kidney Disease is a long-term, progressive decline in kidney function that impairs the body’s ability to filter waste, balance fluids, and regulate blood pressure.","Diabetes mellitus, High Blood pressure, Inflamation of Kidney Filters, Polycystic Kidney Disease, Kidney Stones, Enlarged Prostate, Recurrent kidney infections, Use of Mephrotoxic Drugs",Nephrologist,"Treatment focuses on slowing disease progression and managing complications. This includes strict control of blood sugar and blood pressure, some medications, dietary modifications (low salt, controlled protein, fluid management), and avoiding nephrotoxic drugs. In advanced stages, dialysis or kidney transplantation may be required. Consulting a doctor or nephrologist is essential for early detection, regular monitoring, and personalized treatment planning.",,,,,,,,,,,,,,,,,,
Diabetes Mellitus (Type 2),Chronic metabolic,Non-communicable,"Type 2 Diabetes Mellitus is a chronic condition where the body either resists the effects of insulin or doesn’t produce enough insulin, leading to high blood glucose levels.","Insulin resistance, Reduced Insulin Production, Obesity, Unhealthy Diet, Family History, Ageing, High blood pressure",Endocrinologist,"Treatment focuses on maintaining healthy blood sugar levels. Lifestyle changes are the first step. Oral medications or injectable therapies are prescribed depending on severity. Regular monitoring of blood glucose, blood pressure, and cholesterol is essential. Consulting a doctor is necessary for personalized treatment, prevention of complications, and ongoing management.",,,,,,,,,,,,,,,,,,
Emphysema,Chronic respiratory,Non-communicable,"Emphysema is a long-term lung disease where the air sacs (alveoli) are damaged and enlarged, reducing oxygen exchange and making breathing progressively harder.","Smoking, Exposure to Pollutants, Exposure Chemical Fumes, Genetic Factors",Pulmonologist,"Treatment focuses on symptom relief and preventing progression. Quitting smoking. Doctors may prescribe various therapies for breathing support. Pulmonary rehabilitation, vaccinations, and regular exercise can help maintain lung function. In severe cases, surgical options like lung volume reduction surgery or lung transplantation may be considered. Consulting a doctor or pulmonologist is essential for accurate diagnosis and individualized treatment planning.",,,,,,,,,,,,,,,,,,
Chronic Bronchitis,Chronic respiratory,Non-communicable,"Chronic bronchitis is a long-term inflammation and irritation of the bronchial tubes, leading to excessive mucus production and airflow obstruction.","Smoking, Exposure to Pollutants, Exposure Chemical Fumes, Occupational Exposure, Genetic Factors",Pulmonologist,"The mainstay is lifestyle modification, especially quitting smoking and avoiding lung irritants. Pulmonary rehabilitation programs, regular exercise, and vaccines help prevent complications. Severe cases may require oxygen therapy or, rarely, surgery. Consulting a doctor or pulmonologist is essential for diagnosis, personalized treatment, and long-term management.",,,,,,,,,,,,,,,,,,
Tuberculosis (TB),Infectious respiratory,Communicable,"Tuberculosis is a contagious bacterial infection caused by Mycobacterium tuberculosis, most commonly affecting the lungs but capable of spreading to other organs.","Infection through airborne droplets, Weakened immune system, poor living conditions",Pulmonologist,"Standard treatment involves long-term antibiotic therapy for 6–9 months. Adherence to the full course is essential to prevent relapse and drug resistance. Consulting a doctor is crucial for early diagnosis, appropriate treatment, and regular monitoring.",,,,,,,,,,,,,,,,,,
Pneumonia ,Acute respiratory,Communicable,"Pneumonia is an infection that inflames the air sacs (alveoli) in one or both lungs, which may fill with fluid or pus, leading to breathing difficulties.","Bacterial Infections, Viral infections, fungal infections, aspiration of fluid into lungs, weakened immunity",Pulmonologist,"Treatment depends on the cause: antibiotics for bacterial pneumonia, antiviral medications for certain viral forms, and antifungals for fungal pneumonia. Supportive measures include rest, adequate fluids, fever reducers, and oxygen therapy if needed. Consulting a doctor is essential for accurate diagnosis, correct treatment, and to prevent complications such as sepsis or respiratory failure.",,,,,,,,,,,,,,,,,,
Malaria,Acute infectious,Communicable,"Malaria is a mosquito-borne infectious disease caused by Plasmodium parasites, transmitted through bites of infected female Anopheles mosquitoes.","Infection with Plasmodium Parasites, Mosquito Bites, Blood Transfusion, Organ Transplant",Infectious Disease Specialist,"Supportive care (hydration, fever control, managing anemia) is important. Preventive measures include mosquito nets, repellents, and prophylactic medications for travelers. Consulting a doctor promptly is essential for accurate diagnosis and effective treatment.",,,,,,,,,,,,,,,,,,
Dengue,Acute infectious,Communicable,"Dengue is a mosquito-borne viral infection caused by the dengue virus, transmitted primarily by Aedes aegypti mosquitoes, leading to flu-like illness that can sometimes progress to life-threatening complications.","Infection with Dengue Virus, Mosquito Bites",Infectious Disease Specialist,"There is no specific antiviral treatment for dengue. Management is supportive—adequate fluid intake to prevent dehydration, rest, and medication for fever and pain. Hospitalization may be required in severe cases for intravenous fluids, blood transfusion, and monitoring. Preventive measures include mosquito control (nets, repellents, eliminating breeding sites) and vaccination in some regions. Consulting a doctor promptly is essential for proper management and to prevent complications.",,,,,,,,,,,,,,,,,,
Influenza,Acute infectious,Communicable,"Influenza is a highly contagious viral infection of the respiratory tract caused by influenza viruses, leading to seasonal outbreaks and sometimes pandemics.","Infection with Influenza Viruses, Respiratory Droplets in air, Contaminated Surfaces, Weakened Immunity, Seasonal Change",Infectious Disease Specialist,"Treatment is usually supportive—rest, adequate hydration, and medications for fever and pain. Antiviral drugs may be prescribed if started within 48 hours of symptoms to shorten illness and reduce complications. Annual flu vaccination is the best preventive measure. Consulting a doctor is important in severe cases or for individuals at high risk of complications.",,,,,,,,,,,,,,,,,,
Stomach Cancer (Gastric Cancer),Malignant Tumor,Non-Communicable,"Stomach cancer (gastric cancer) is the abnormal growth of malignant cells in the stomach lining, which can spread locally or to other parts of the body if untreated.","Chronic Infection, Long-term gastritis, gastric ulcers, smoking, acohol consumption, unhealthy diet,family history",Oncologist,"Treatment options include surgery, chemotherapy, radiation therapy, and targeted therap. Immunotherapy may also be used in selected patients. Nutritional support is crucial due to eating difficulties. Consulting a doctor promptly is necessary for proper diagnosis, staging, and treatment planning, as individualized care greatly affects survival and quality of life.",,,,,,,,,,,,,,,,,,
Liver Cancer (Hepatocellular Carcinoma),Malignant Tumor,Non-Communicable,"Liver cancer, most commonly hepatocellular carcinoma (HCC), is a malignant tumor originating in liver cells, often linked to chronic liver disease or viral hepatitis.","Chronic hepatitis B or C infection, Cirrhoris, Aflatoxin exposure, Alcohol abuse, Fatty liver disease, genetic conditions.",Oncologist,"Treatment may include surgical resection, liver transplantation, localized therapies, targeted therapy, and immunotherapy. Supportive care for liver function and nutrition is also vital. Consulting a doctor promptly is essential to determine the most suitable treatment, as outcomes vary greatly depending on stage and liver health.",,,,,,,,,,,,,,,,,,
Prostate Cancer,Malignant Tumor,Non-Communicable,"Prostate cancer is a malignant growth in the prostate gland, common in older men, and can range from slow-growing tumors to aggressive cancers that spread quickly.","Ageing, Family History, Genetic mutations, Hormonal Factors, High diet of red meat, Obesity",Oncologist,"Treatment depends on stage and aggressiveness. Options include active surveillance for slow-growing cases, surgery, radiation therapy, hormone therapy, chemotherapy, targeted therapy, and immunotherapy. Lifestyle changes and supportive care may also improve quality of life. Consulting a doctor is essential for personalized evaluation, as some men may not need immediate aggressive treatment while others require urgent therapy.",,,,,,,,,,,,,,,,,,
Ovarian Cancer,Malignant Tumor,Non-Communicable,"Ovarian cancer is a malignant tumor that begins in the ovaries, often detected late because symptoms are vague and nonspecific.","Family History, Aging, Genetic Mutations, Hormonal Factors, Hormone Replacement Therapy, Obesity, Endometriosis",Oncologist,"Treatment usually involves surgery followed by chemotherapy. Targeted therapy and, in some cases, radiation therapy or immunotherapy may be used. Regular follow-up and supportive care are important for long-term management. Consulting a doctor is essential for proper staging and to personalize treatment, as outcomes vary widely.",,,,,,,,,,,,,,,,,,
Pancreatic Cancer,Malignant Tumor,Non-Communicable,"Pancreatic cancer is a malignant tumor that develops in the pancreas, often aggressive and detected late due to vague symptoms.","Smoking, chronic pancreatitis, Family, history, genetic mutations, diabetes, obesity, high fat diet, ageing, alcohol use",Oncologist,"Treatment depends on stage and overall health. Options include surgery, chemotherapy, radiation therapy, targeted therapy, and immunotherapy in select cases. Palliative care for pain and digestive support is often needed in advanced disease. Consulting a doctor promptly is crucial, as pancreatic cancer requires specialized and often urgent treatment planning.",,,,,,,,,,,,,,,,,,
Esophageal Cancer,Malignant Tumor,Non-Communicable,"Esophageal cancer is a malignant tumor that develops in the lining of the esophagus, often linked to chronic irritation or reflux, and tends to spread aggressively.","Smoking, alcohol consumption, gastroesophageal reflux disease, Barrett's esophagus, Obesity, Unhealthy diet, HPV infection, Ageing, Family history",Oncologist,"Treatment depends on stage and location. Options include surgery, chemotherapy, radiation therapy, targeted therapy, and immunotherapy in advanced or recurrent cases. Nutritional support and palliative care are often required. Consulting a doctor promptly is essential for staging and to plan treatment, as early intervention greatly improves outcomes.",,,,,,,,,,,,,,,,,,
Glioma ,Malignant Tumor (Brain Tumor),Non-Communicable,"Glioma is a type of brain tumor that arises from glial cells (supporting cells in the brain and spinal cord), ranging from slow-growing to highly aggressive forms.","Genetic Mutations, Family history, exposure to ionizing radiation, ageing",Neurologist,"Treatment typically involves surgery, followed by radiation therapy and chemotherapy. Targeted therapies and immunotherapies are being studied for some gliomas. Supportive care is also essential. Consulting a neurologist or oncologist is crucial, as treatment depends heavily on tumor grade, genetic profile, and patient condition.",,,,,,,,,,,,,,,,,,
Meningioma,Brain Tumor,Non-Communicable,"Meningioma is a tumor that arises from the meninges (the protective membranes covering the brain and spinal cord). Most are slow-growing and benign, but some can be atypical or malignant.","Genetic mutations, Family history, radiation exposure to the head, hormone replacement therapy, ageing",Neurologist,"Treatment depends on size, location, and symptoms. Options include active surveillance, surgery, and radiation therapy. Medications may help manage seizures or swelling. Consulting a neurologist or neurosurgeon is essential to decide the best approach, as treatment must be personalized.",,,,,,,,,,,,,,,,,,
Kidney Cancer (Renal Cell Carcinoma),Malignant Tumor,Non-Communicable,"Kidney cancer, most commonly renal cell carcinoma (RCC), arises from the lining of the renal tubules and is the most frequent type of adult kidney cancer.","Smoking, Obesity, High Blood Pressure, Family History, Inherited Genetic Syndromes, Chronic kidney disease, Occupational exposure to chemicals, Ageing",Oncologist,"Treatment depends on tumor size and spread. Options include surgery, ablation therapies, targeted therapy, immunotherapy, and in some cases, radiation therapy for symptom relief. Regular follow-up is essential. Consulting a doctor, urologist or oncologist, is critical for staging and planning the most effective treatment.",,,,,,,,,,,,,,,,,,
Bladder Cancer,Malignant Tumor,Non-Communicable,"Bladder cancer is a malignant tumor that develops in the lining of the bladder, most commonly transitional cell carcinoma, and may spread to surrounding tissues or distant organs.","Smoking, Chronic Bladder inflamation, Recurrent urinary infections, Schistosomiasis infection, Ageing, exposure to industrial chemicals, family history, radiation therapy to pelvis",Oncologist,"Treatment depends on stage and grade. Options include surgery, intravesical therapy, systemic chemotherapy, targeted therapy, and immunotherapy. Radiation therapy may be used in certain cases. Regular monitoring is essential due to high recurrence rates. Consulting a urologist or oncologist is crucial for accurate staging and treatment planning.",,,,,,,,,,,,,,,,,,
Thyroid Cancer,Malignant Tumor,Non-Communicable,"Thyroid cancer is a malignant tumor that develops in the thyroid gland, usually detected as a neck nodule, and most types grow slowly with good treatment outcomes.","Genetic mutation,  Family history, Exposure to ionizing radiation, Iodine Deficiency, Iodine excess, Ageing",Oncologist,"Treatment typically includes surgery to remove part or all of the thyroid. Radioactive iodine therapy may be used to destroy remaining cancer cells. Thyroid hormone replacement therapy is required after surgery. Other options include external beam radiation, targeted therapy, and chemotherapy for advanced cases. Regular follow-up is essential to monitor recurrence. Consulting an endocrinologist or oncologist is crucial for individualized treatment planning.",,,,,,,,,,,,,,,,,,
Diabetes Insipidus,Endocrine/Metabolic Disorder,Non-Communicable,"Diabetes insipidus is a rare disorder where the kidneys are unable to conserve water, leading to excessive urination and intense thirst due to problems with antidiuretic hormone (ADH) production or kidney response.","Reduced or absent secretion of ADH, Kidneys fail in response to ADH, Pregnancy, Excessive fluid intake that suppresses ADH",Endocrinologist,"Management depends on the type. Central diabetes insipidus is treated with desmopressin to control thirst and urine output. Nephrogenic DI is managed with increased water intake, a low-salt diet, and medications like thiazide diuretics or NSAIDs. Gestational DI is also treated with desmopressin. Addressing underlying causes and consulting an endocrinologist are essential for proper care.",,,,,,,,,,,,,,,,,,
Gout,Metabolic/Arthritic Disorder,Non-Communicable,"Gout is a form of inflammatory arthritis caused by excess uric acid in the blood, leading to crystal deposits in joints and surrounding tissues.","High Uric Acid Levels, Diet Rich in purines, Alcohol consumption, Obesity, Kidney disease. reduced kidney function, family history",Rheumatologist,"Treatment focuses on relieving acute attacks and preventing future ones. Acute pain is managed with NSAIDs, colchicine, or corticosteroids. Long-term management includes medications to lower uric acid and lifestyle modifications like reducing purine-rich foods, limiting alcohol, maintaining healthy weight, and staying hydrated. Consulting a doctor or rheumatologist is important for individualized treatment and to prevent complications.",,,,,,,,,,,,,,,,,,
Hyperthyroidism (Graves' Disease),Endocrine Disorder,Non-Communicable,"Graves’ disease is an autoimmune disorder in which the immune system overstimulates the thyroid gland, causing overproduction of thyroid hormones (hyperthyroidism).","Autoimmune reactions, Genetic predisposition, stress, emotional triggers, smoking, type 1 diabetes, rheumatoid arthritis, pernicious anemia",Endocrinologist,"Treatment options include antithyroid medications to reduce hormone production, radioactive iodine therapy to shrink the thyroid, or surgery in selected cases. Beta-blockers may be prescribed to control rapid heartbeat and tremors. Lifestyle adjustments, smoking cessation, and careful monitoring are important. Consulting an endocrinologist is essential to tailor treatment and manage long-term care.",,,,,,,,,,,,,,,,,,
PCOS (Polycystic Ovary Syndrome),Endocrine-Metabolic Disorder,Non-Communicable,"Polycystic Ovary Syndrome (PCOS) is a hormonal disorder in women of reproductive age, characterized by irregular ovulation, excess androgens, and polycystic ovaries.","Hormonal imbalance, Insulin resistance, High insulin levels, Family history, Low garde inflamation, Poor diet, Obesity, Lack of Exercise",Gynecologist,"Management focuses on symptom control and reducing long-term risks. Lifestyle modifications such as weight management, balanced diet, and regular exercise are first-line approaches. Medications may include hormonal contraceptives to regulate periods, anti-androgens for excess hair and acne, and metformin to improve insulin sensitivity. Fertility treatments may be needed for those seeking pregnancy. Consulting a gynecologist or endocrinologist is important for individualized care and ongoing monitoring.",,,,,,,,,,,,,,,,,,
Iron Deficiency Anemia,Chronic hematologic (blood) deficiency,Non-Communicable,"Iron deficiency anemia is a condition in which the body does not have enough iron to produce adequate healthy red blood cells (or enough hemoglobin), causing impaired oxygen transport to tissues.","Chronic blood loss, inadequate dietary iron intake, poor absorption of iron due to gastrointestinal diseases, prior surgery, increased needs in pregnancy, fast growth in children, frequent blood donation",Hematologist,"Treatment of iron deficiency anemia involves first diagnosing and treating any underlying cause. Dietary changes are important: increasing intake of iron-rich foods, and enhancing iron absorption by including vitamin C sources while avoiding dietary inhibitors. Oral iron supplements are commonly prescribed. If oral iron is not tolerated, absorption is poor, or anemia is severe, intravenous iron therapy or in extreme cases blood transfusions may be necessary. Throughout treatment, it is essential to consult a hematologist or general physician to monitor response, adjust dose, watch for side effects, and ensure that treatment of any underlying disorders is carried out.",,,,,,,,,,,,,,,,,,
Scurvy (Vitamin C Deficiency),Chronic nutritional deficiency,Non-Communicable,"Scurvy is a condition caused by a prolonged severe deficiency of vitamin C (ascorbic acid) in the diet. Without enough vitamin C, collagen synthesis and other vital functions decline, leading to breakdown of connective tissues and multiple systemic symptoms.","Diets that lack sufficient fresh fruits, Diets that lack sufficient vegetables, extremely restricted diets, pregnancy, breastfeeding, gastrointestinal diseases, chronic illness, smoking, alcohol abuse, drug abuse, increased oxidative stress.",General Physician,"Treatment requires increasing vitamin C intake, both via dietary sources and supplementation. Foods rich in vitamin C — such as citrus fruits, berries, tomatoes, bell peppers, leafy greens — are essential. Supplements of vitamin C may be prescribed; in mild-to-moderate cases oral supplementation suffices, while in severe deficiency higher doses over days to weeks are used. Management also includes treating any complications. It is important to consult a doctor or healthcare provider to confirm diagnosis, determine the appropriate dose, monitor progress, and address any underlying factors.",,,,,,,,,,,,,,,,,,
Cystic Fibrosis,Chronic genetic (or hereditary) disorder,Non-Communicable,"Cystic fibrosis is an inherited disorder caused by mutations in the CFTR (cystic fibrosis transmembrane conductance regulator) gene, leading to production of abnormally thick, sticky mucus in organs like lungs, pancreas, liver, and reproductive tract. This mucus clogs airways, ducts, leads to infections and malabsorption, progressively causing organ damage.","Inheriting two mutated copies (one from each parent) of the CFTR gene, Mutation in CFTR gene",Pulmonologist,"Treatment for cystic fibrosis is multidisciplinary, aimed at managing symptoms, preventing complications, improving quality of life, and slowing disease progression. It includes medicines that target the CFTR protein defect in those with responsive gene mutations, antibiotics to treat and prevent lung infections, anti-inflammatory drugs and bronchodilators to reduce lung inflammation and open airways, therapies to thin mucus and help clear it from the lungs, nutritional support. Other treatments such as oxygen therapy, noninvasive ventilation, and in severe cases lung transplant. It is essential to consult a pulmonologist, gastroenterologist, CF specialist for personalized treatment and monitoring.",,,,,,,,,,,,,,,,,,
