User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""The skin around my nipple is scaling and red""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My breast feels heavy and the skin is puckered""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Coughing up blood""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weight loss""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Hoarseness""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've had this cough for weeks and it isn't getting better""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I saw some blood when I coughed into a tissue""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest hurts whenever I take a deep breath""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm making a whistling sound when I breathe""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel out of breath even when I'm just sitting down""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've dropped ten pounds recently without trying to diet""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My voice has become very deep and raspy lately""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel exhausted and can't stop coughing""",Lung Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Abnormal vaginal bleeding""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Pelvic pain""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain during intercourse""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Unusual vaginal discharge""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Post-menopausal bleeding""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm bleeding between my periods and I'm worried""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant dull ache in my pelvic area""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""It really hurts during intimacy""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed a strange smelling discharge lately""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I went through menopause years ago but I started bleeding again""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My lower back and pelvis always seem to hurt""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Heavy periods that last much longer than usual""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a lot of pressure in my lower abdomen""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Leg swelling and trouble urinating""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent fatigue and pelvic discomfort""",Cervical Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Easy bleeding or bruising""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in legs, feet, or ankles and edema""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Itchy skin""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Yellow discoloration in the skin and eyes or jaundice""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin and the whites of my eyes look yellow""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach looks really bloated and swollen""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I bruise so easily even if I just bump into something""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My legs and ankles are very puffy and swollen""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have no appetite and feel sick to my stomach""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is incredibly itchy all over""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely weak and tired all day""",Chronic Liver Disease / Cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest tightness or pain""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing when exhaling""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Trouble sleeping caused by shortness of breath""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Coughing or wheezing attacks""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm breathing through a straw""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels very tight, like it's being squeezed""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up at night gasping for air""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I make a whistling sound every time I breathe out""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't stop coughing, especially at night""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Exercise makes me lose my breath immediately""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Cold air makes my chest feel heavy and tight""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I have frequent bouts of coughing and gasping""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""My breathing gets worse when I'm around dust or pollen""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel winded after just a little bit of talking""",Asthma,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden nausea and vomiting""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal pain or discomfort""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Clay-colored bowel movements""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Dark urine""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Joint pain""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Yellowing of skin and eyes""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""My pee is very dark, almost like tea or cola""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""My poop looks light-colored or like clay""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache on the right side of my stomach""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel sick and keep throwing up""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are stiff and they really hurt""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling extremely run down lately""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and yellowing eyes""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and my stomach is tender""",Hepatitis-B/ HBV,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Itchy skin""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Dark urine""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in the legs""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Jaundice""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Easy bruising""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Fluid buildup in the abdomen""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""I don't have any energy and feel sleepy all the time""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""My skin is constantly itchy but there is no rash""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed my stomach is getting bigger and filled with fluid""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""I get black and blue marks very easily""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes look a bit yellow today""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a weird discomfort in my upper abdomen""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle aches and general weakness""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Poor appetite and dark colored urine""",Hepatitis-C / HCV,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid weight loss""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Recurring fever or profuse night sweats""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Extreme and unexplained tiredness""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Prolonged swelling of the lymph glands""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Diarrhea that lasts for more than a week""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Sores of the mouth, anus, or genitals""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Pneumonia""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost a lot of weight without even trying""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up soaked in sweat every single night""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""The glands in my neck and armpits are really swollen""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""I've had diarrhea for two weeks and it won't stop""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""I have painful white spots inside my mouth""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel exhausted and keep getting sick with infections""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Purple or red spots on my skin that don't go away""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Memory loss or depression lately""",HIV/AIDS,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe watery diarrhea""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal pain""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Dehydration""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""My child has been having watery diapers all day""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Constant vomiting and can't keep any liquids down""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very thirsty and my mouth is dry""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm dizzy and haven't urinated much today""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Cramping in my stomach and frequent trips to the bathroom""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling very weak and lethargic with a high fever""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Sunken eyes and crying without tears""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Extremely fussy and tired with stomach pain""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent loose stools and high temperature""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Gastrointestinal distress and signs of fluid loss""",Rotavirus Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
"""Diarrhea (often watery)""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Stomach cramping""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Bloating""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Urgent need to have a bowel movement""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""I got sick right after I started my vacation""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is cramping really badly""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""I have to run to the bathroom every thirty minutes""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel bloated and gassy with loose stools""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling nauseous and just threw up my dinner""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of watery diarrhea while traveling""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""A mild fever and an upset stomach""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel dehydrated and my stomach is in knots""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and frequent bowel movements""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""General malaise with abdominal distress""",E. coli Diarrhea (Traveler’s Diarrhea),,,,,,,,,,,,,,,,,,,,,,,,
"""Blood or mucus in stool""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Abdominal pain""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Diarrhea""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some blood and slime in my poop""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach hurts so much I can't stand up straight""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and frequent bloody diarrhea""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very weak and have terrible stomach cramps""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Painful bowel movements with mucus""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and constant stomach aches""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Tender abdomen and feeling very ill""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""I have the runs and it looks reddish""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Intestinal cramping and high body temperature""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Severe gastric upset with bloody stools""",Amebic Dysentery (Entamoeba histolytica),,,,,,,,,,,,,,,,,,,,,,,,
"""Prolonged high fever""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Weakness""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Stomach pain""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Rash or rose spots""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Constipation or diarrhea""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I've had a very high fever that just won't break for days""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach is killing me and I feel so weak""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I have no desire to eat anything at all""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Small pink spots have appeared on my chest and stomach""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having a lot of trouble going to the bathroom""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""My head is throbbing and I feel extremely exhausted""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""General body aches accompanied by a steady fever""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe intestinal discomfort and high body temperature""",Typhoid Fever,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden high fever""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe joint pain""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle pain""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Rash""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints hurt so bad I can barely move my fingers""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""I woke up with a sudden, very high temperature""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""My whole body aches, especially my wrists and ankles""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a flat red rash across my torso""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel constantly tired and sick to my stomach""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my joints is absolutely debilitating""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a splitting headache and muscle soreness""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe shivering followed by intense joint inflammation""",Chikungunya,,,,,,,,,,,,,,,,,,,,,,,,
"""High blood pressure and often asymptomatic""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe headaches""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Nosebleeds""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Flushing""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Visual changes""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""My doctor said my blood pressure reading was extremely high""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been getting frequent, random nosebleeds""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""My face feels hot and looks very red or flushed""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel dizzy and my vision gets blurry sometimes""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a pounding sensation in my chest or ears""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Dull headaches and a general feeling of being unwell""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Blood spots in the eyes and feeling short of breath""",Primary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""High blood pressure caused by an underlying condition""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Resistance to blood pressure medication""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Very high blood pressure readings""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden onset of high blood pressure""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Kidney-related symptoms""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Thyroid-related symptoms""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""Adrenal gland issues""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""My blood pressure is high even though I take my pills""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
"""My BP spiked out of nowhere for the first time""",Secondary Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
